SiteId,Month,average_temperature
2,2013-01,19.8990625
2,2013-02,19.80264672036824
2,2013-03,19.36294416243655
2,2013-04,17.364994775339603
2,2013-05,13.89990234375
2,2013-06,12.174669379450663
2,2013-07,11.18313492063492
2,2013-08,12.50439121756487
2,2013-09,13.403461296412837
2,2013-10,14.881902017291065
2,2013-11,17.075417661097852
2,2013-12,18.418869013271784
2,2014-01,18.78124639353722
2,2014-02,19.962148337595906
2,2014-03,17.988184438040346
2,2014-04,17.506773618538325
2,2014-05,13.840854010386613
2,2014-06,13.154751942618052
2,2014-07,10.983542788749252
2,2014-08,11.60546737213404
2,2014-09,13.24576372315036
2,2014-10,14.346902142443543
2,2014-11,15.317797619047619
2,2014-12,17.984139941690962
2,2015-01,20.649048991354466
2,2015-02,19.82436224489796
2,2015-03,19.430685089234313
2,2015-04,16.772195704057278
2,2015-05,13.855230125523011
2,2015-06,12.297559523809525
2,2015-07,10.622837370242214
2,2015-08,11.31544289044289
2,2015-09,12.454692169754932
2,2015-10,14.424841498559077
2,2015-11,15.858672248803828
2,2015-12,17.91863425925926
2,2016-01,20.525678015002885
2,2016-02,21.563023110555903
2,2016-03,19.81026837806301
2,2016-04,17.087387387387388
2,2016-05,16.075188405797103
2,2016-06,12.745892857142856
2,2016-07,11.652359033371692
2,2016-08,11.373993095512082
2,2016-09,13.462537224538416
2,2016-10,14.758640552995391
2,2016-11,16.029455445544553
2,2016-12,17.61
2,2017-01,18.732857142857142
2,2017-02,20.085586734693877
2,2017-03,19.31521613832853
2,2017-04,17.355833333333333
2,2017-05,13.696133871898443
2,2017-06,12.110883944678292
2,2017-07,11.127665706051873
2,2017-08,12.441841491841492
2,2017-09,13.468102932375823
2,2017-10,14.982342758222735
2,2017-11,16.68779035139964
2,2017-12,20.107705882352942
3,2013-01,19.8990625
3,2013-02,19.80264672036824
3,2013-03,19.36294416243655
3,2013-04,17.364994775339603
3,2013-05,13.89990234375
3,2013-06,12.174669379450663
3,2013-07,11.18313492063492
3,2013-08,12.50439121756487
3,2013-09,13.403461296412837
3,2013-10,14.881902017291065
