SequenceID;SiteId;Month;Value;Surface;Sampling;BaseTemperature;MondayIsDayOff;TuesdayIsDayOff;WednesdayIsDayOff;ThursdayIsDayOff;FridayIsDayOff;SaturdayIsDayOff;SundayIsDayOff;AvgTemperature
1;1;2014-09-01;2865027.007630894;1387.2051194130663;15.0;18.0;False;False;False;False;False;True;True;16.227282433689336
1;1;2014-10-01;3381805.859848168;1387.2051194130663;15.0;18.0;False;False;False;False;False;True;True;14.53081529820492
1;1;2014-11-01;3234250.390740649;1387.2051194130663;15.0;18.0;False;False;False;False;False;True;True;12.603836181081192
1;1;2014-12-01;1790775.791101756;1387.2051194130663;15.0;18.0;False;False;False;False;False;True;True;9.994714275622268
1;1;2015-01-01;2960420.327252937;1387.2051194130663;15.0;18.0;False;False;False;False;False;True;True;9.817247733789548
1;1;2015-02-01;4040169.195595687;1387.2051194130663;15.0;18.0;False;False;False;False;False;True;True;8.827408379093514
1;1;2015-03-01;5072238.1813464;1387.2051194130663;15.0;18.0;False;False;False;False;False;True;True;12.60792026996771
1;1;2015-04-01;3746686.64796775;1387.2051194130663;15.0;18.0;False;False;False;False;False;True;True;14.895697905434822
1;1;2015-05-01;6467708.833292013;1387.2051194130663;15.0;18.0;False;False;False;False;False;True;True;17.141654142366107
1;1;2015-06-01;5925894.702874758;1387.2051194130663;15.0;18.0;False;False;False;False;False;True;True;19.39294481553273
1;1;2015-07-01;6779721.154528084;1387.2051194130663;15.0;18.0;False;False;False;False;False;True;True;21.53785193429267
1;1;2015-08-01;7119788.210106807;1387.2051194130663;15.0;18.0;False;False;False;False;False;True;True;20.49907454866584
2;1;2015-10-01;4844021.775461494;1387.2051194130663;15.0;18.0;False;False;False;False;False;True;True;14.792289238072366
2;1;2015-11-01;6097309.439090613;1387.2051194130663;15.0;18.0;False;False;False;False;False;True;True;12.474742852144688
2;1;2015-12-01;5315746.841816691;1387.2051194130663;15.0;18.0;False;False;False;False;False;True;True;10.585770904643011
2;1;2016-01-01;6434360.106546794;1387.2051194130663;15.0;18.0;False;False;False;False;False;True;True;10.044430381276952
3;1;2016-03-01;1894297.80072303;1387.2051194130663;15.0;18.0;False;False;False;False;False;True;True;12.515167674172917
3;1;2016-04-01;4557559.905320732;1387.2051194130663;15.0;18.0;False;False;False;False;False;True;True;15.29589403743588
